list,order,item,audio,condition,prime,prime_1,noun_repetition,prime_description,target_description,display_1,boxed_object,target_noun,target_colour,target_pattern,prime_noun,prime_colour,prime_pattern,filler_prime_category,filler_target_category,target_object,distractor5_sameNoun_differentColor_differentPatternFromTarget,non_repeated_prime,distractor1_sameNoun_sameColor_differentPatternFromTarget,distractor2_sameNoun_differentColor_samePatternAsTarget,distractor3_differentNoun_sameColor_patternAsTarget,distractor4_differentNoun_sameColor_differentPatternFromTarget,repeated_prime,targetPosition,distractor5,nonRepeatedPrime,distractor1,distractor2,distractor3,distractor4,repeatedPrime,expTrials,box_position,targetImg,boxPos,pos1,pos2,pos3,pos4,pos5,pos6,pos7,pos8
4,64,27,27_PC_rep.mp3,4,PC,0,repeated,The spotted green plane,red spotted box,1,box_red_spotted,box,red,spotted,plane,green,striped,,,box_red_spotted,box_green_striped,plane_green_striped,box_red_striped,box_green_spotted,plane_red_spotted,plane_red_striped,plane_green_spotted,8,3,1,2,4,6,5,7,Y,8,7,8,plane_green_striped.png,box_red_striped.png,box_green_striped.png,box_green_spotted.png,plane_red_striped.png,plane_red_spotted.png,plane_green_spotted.png,box_red_spotted.png
1,65,f24,f24.mp3,9,9,9,repeated,The cat facing left,large cat,9,,cat,,,cat,,,directionoun category,size,catBlueRight,,,,,,,,,,,,,,,,N,6,1,6,catBlueSmall.png,bicycleBlueLarge.png,bicycleRedLarge.png,bicycleGreyLarge.png,catBlueSmallRight.png,catBlueRight.png,bicycleGreyLarge.png,bicycleGreyLarge.png
2,65,f24,f24.mp3,9,9,9,repeated,The cat facing left,large cat,9,,cat,,,cat,,,directionoun category,size,catBlueRight,,,,,,,,,,,,,,,,N,6,1,6,catBlueSmall.png,bicycleBlueLarge.png,bicycleRedLarge.png,bicycleGreyLarge.png,catBlueSmallRight.png,catBlueRight.png,bicycleGreyLarge.png,bicycleGreyLarge.png
3,65,f24,f24.mp3,9,9,9,repeated,The cat facing left,large cat,9,,cat,,,cat,,,directionoun category,size,catBlueRight,,,,,,,,,,,,,,,,N,6,1,6,catBlueSmall.png,bicycleBlueLarge.png,bicycleRedLarge.png,bicycleGreyLarge.png,catBlueSmallRight.png,catBlueRight.png,bicycleGreyLarge.png,bicycleGreyLarge.png
4,65,f24,f24.mp3,9,9,9,repeated,The cat facing left,large cat,9,,cat,,,cat,,,directionoun category,size,catBlueRight,,,,,,,,,,,,,,,,N,6,1,6,catBlueSmall.png,bicycleBlueLarge.png,bicycleRedLarge.png,bicycleGreyLarge.png,catBlueSmallRight.png,catBlueRight.png,bicycleGreyLarge.png,bicycleGreyLarge.png
1,66,28,28_PC_rep.mp3,4,PC,0,repeated,The spotted red tie,blue spotted pipe,1,pipe_blue_spotted,pipe,blue,spotted,tie,red,chequered,,,pipe_blue_spotted,pipe_red_chequered,tie_red_chequered,pipe_blue_chequered,pipe_red_spotted,tie_blue_spotted,tie_blue_chequered,tie_red_spotted,2,8,5,7,1,4,6,3,Y,2,3,2,pipe_red_spotted.png,pipe_blue_spotted.png,tie_red_spotted.png,tie_blue_spotted.png,tie_red_chequered.png,tie_blue_chequered.png,pipe_blue_chequered.png,pipe_red_chequered.png
2,66,28,28_CP_non.mp3,1,CP,1,non-repeated,The red chequered tie,blue spotted pipe,0,pipe_blue_spotted,pipe,blue,spotted,tie,red,chequered,,,pipe_blue_spotted,pipe_red_chequered,tie_red_chequered,pipe_blue_chequered,pipe_red_spotted,tie_blue_spotted,tie_blue_chequered,tie_red_spotted,2,8,5,7,1,4,6,3,Y,2,5,2,pipe_red_spotted.png,pipe_blue_spotted.png,tie_red_spotted.png,tie_blue_spotted.png,tie_red_chequered.png,tie_blue_chequered.png,pipe_blue_chequered.png,pipe_red_chequered.png
3,66,28,28_CP_rep.mp3,3,CP,1,repeated,The red spotted tie,blue spotted pipe,1,pipe_blue_spotted,pipe,blue,spotted,tie,red,chequered,,,pipe_blue_spotted,pipe_red_chequered,tie_red_chequered,pipe_blue_chequered,pipe_red_spotted,tie_blue_spotted,tie_blue_chequered,tie_red_spotted,2,8,5,7,1,4,6,3,Y,2,3,2,pipe_red_spotted.png,pipe_blue_spotted.png,tie_red_spotted.png,tie_blue_spotted.png,tie_red_chequered.png,tie_blue_chequered.png,pipe_blue_chequered.png,pipe_red_chequered.png
4,66,28,28_PC_non.mp3,2,PC,0,non-repeated,The chequered red tie,blue spotted pipe,0,pipe_blue_spotted,pipe,blue,spotted,tie,red,chequered,,,pipe_blue_spotted,pipe_red_chequered,tie_red_chequered,pipe_blue_chequered,pipe_red_spotted,tie_blue_spotted,tie_blue_chequered,tie_red_spotted,2,8,5,7,1,4,6,3,Y,2,5,2,pipe_red_spotted.png,pipe_blue_spotted.png,tie_red_spotted.png,tie_blue_spotted.png,tie_red_chequered.png,tie_blue_chequered.png,pipe_blue_chequered.png,pipe_red_chequered.png
1,67,f04,f04.mp3,9,9,9,repeated,The small asparagus,asparagus pointing upwards,9,,asparagus,,,asparagus,,,size,direction,asparagusRight,,,,,,,,,,,,,,,,N,5,2,5,spanner_blue_spotted.png,asparagusGreenSmallDown.png,spanner_blue_striped.png,asparagusRightDown.png,asparagusRight.png,spanner_blue_striped.png,spanner_blue_striped.png,spanner_blue_spotted.png
